Year, DOY, Species_Symbol, Species_Common_Name, Species_Name, Sample_Number, PLWPYYYY,DDD, , , , , MPa2004,170,QUVE,black oak,Q.velutina Lam.,1,-0.103
2004,170,QUVE,black oak,Q.velutina Lam.,2,-0.055
2004,170,QUVE,black oak,Q.velutina Lam.,3,-0.076
2004,170,JUVI,eastern redcedar,Juniperus virginiana L.,1,-0.351
2004,170,JUVI,eastern redcedar,Juniperus virginiana L.,2,-0.414
2004,170,JUVI,eastern redcedar,Juniperus virginiana L.,3,-0.351
2004,170,CAOV2,shagbark hickory,Carya ovata (Mill.)K.Koch,1,-0.069
2004,170,CAOV2,shagbark hickory,Carya ovata (Mill.)K.Koch,2,-0.145
2004,170,CAOV2,shagbark hickory,Carya ovata (Mill.)K.Koch,3,-0.152
2004,170,ACSAS,sugar maple,Acer saccharum Marsh.,1,-0.241
2004,170,ACSAS,sugar maple,Acer saccharum Marsh.,2,-0.172
2004,170,ACSAS,sugar maple,Acer saccharum Marsh.,3,-0.283
2004,170,FRAM2,white ash,Fraxinus americana,1,-0.145
2004,170,FRAM2,white ash,Fraxinus americana,2,-0.131
2004,170,QUAL,white oak,Quercus alba L.,1,-0.103
2004,170,QUAL,white oak,Quercus alba L.,2,-0.069
2004,170,QUAL,white oak,Quercus alba L.,3,-0.083
2004,170,QUAL,white oak,Quercus alba L.,4,-0.083
2004,170,QUAL,white oak,Quercus alba L.,5,-0.083
2004,170,QUAL,white oak,Quercus alba L.,6,-0.069
2004,190,QUVE,black oak,Q.velutina Lam.,1,-0.345
2004,190,QUVE,black oak,Q.velutina Lam.,2,-0.414
2004,190,QUVE,black oak,Q.velutina Lam.,3,-0.345
2004,190,JUVI,eastern redcedar,Juniperus virginiana L.,1,-0.551
2004,190,JUVI,eastern redcedar,Juniperus virginiana L.,2,-0.620
2004,190,JUVI,eastern redcedar,Juniperus virginiana L.,3,-0.482
2004,190,CAOV2,shagbark hickory,Carya ovata (Mill.)K.Koch,1,-0.276
2004,190,CAOV2,shagbark hickory,Carya ovata (Mill.)K.Koch,2,-0.345
2004,190,CAOV2,shagbark hickory,Carya ovata (Mill.)K.Koch,3,-0.276
2004,190,ACSAS,sugar maple,Acer saccharum Marsh.,1,-0.482
2004,190,ACSAS,sugar maple,Acer saccharum Marsh.,2,-0.345
2004,190,ACSAS,sugar maple,Acer saccharum Marsh.,3,-0.620
2004,190,FRAM2,white ash,Fraxinus americana,1,-1.447
